vegetable,city,season,quantity,duration,gender,price
16,1,3,5178,2,1,55
3,26,3,9078,2,1,105
16,2,3,1017,2,2,60
5,26,0,9468,2,1,47
5,13,2,3373,2,2,43
15,4,0,8240,3,1,100
3,9,1,5976,1,1,90
9,9,0,9673,2,2,67
2,26,2,8391,1,1,108
9,8,2,8156,2,2,14
18,24,0,6157,2,2,24
12,18,1,5958,3,2,94
3,13,1,3004,3,2,85
4,16,3,8045,1,2,87
0,19,3,5963,3,2,73
9,24,1,9643,1,1,64
5,3,1,4488,2,1,41
16,9,2,8325,3,1,88
5,5,3,3698,3,1,76
19,17,3,9715,3,1,87
12,25,1,5355,2,1,111
9,19,1,7108,3,1,31
7,5,2,1440,1,2,30
12,16,2,5931,3,2,43
10,7,1,5822,3,2,31
8,8,1,4550,1,2,100
10,11,2,9182,1,1,76
8,7,3,6339,1,2,117
6,16,3,4808,1,2,114
8,27,0,8774,3,2,113
17,11,2,2437,1,1,26
4,1,2,9562,2,2,16
0,13,3,6508,1,1,22
14,11,3,8920,1,2,16
8,13,0,2683,2,2,72
17,7,1,3250,1,2,21
11,8,1,8203,3,2,57
9,5,1,7865,3,2,28
0,19,1,9112,2,1,96
11,16,3,1715,1,1,26
4,14,1,9155,2,1,26
1,13,0,3385,3,2,113
5,22,1,6639,3,1,102
11,4,1,7035,3,1,10
14,19,2,8739,2,1,36
13,24,3,4569,3,1,110
3,5,2,5514,2,2,41
16,9,1,2994,1,1,81
7,0,0,6828,3,1,53
15,10,1,6295,2,2,74
18,15,0,1082,2,2,53
19,19,0,3466,2,2,109
7,7,2,3796,3,2,46
17,17,2,2119,3,2,53
16,6,3,2081,1,2,108
15,6,0,7334,2,1,54
6,1,1,2974,2,1,56
1,21,1,4399,1,1,12
18,13,3,5578,2,1,22
9,7,0,3992,1,1,75
0,11,2,6211,2,2,73
11,10,3,5016,1,2,92
9,17,2,1262,2,2,100
14,9,0,9884,1,1,100
16,6,3,4668,2,2,15
6,18,3,8013,1,1,53
2,27,0,4301,1,1,11
12,11,1,6168,1,2,43
1,11,2,1761,2,2,91
3,0,0,5965,1,2,23
19,26,0,2173,2,1,80
6,3,2,2890,3,2,30
16,16,3,4105,1,2,36
5,5,2,7033,3,2,114
19,0,3,9117,2,2,82
9,1,1,7469,2,2,92
5,27,3,7466,3,2,48
8,5,0,1678,3,2,87
14,15,1,7513,3,2,52
2,22,1,3422,3,2,47
10,10,2,7545,1,1,117
4,22,3,7668,1,2,67
16,17,3,7277,1,2,90
9,27,3,5937,3,1,28
3,15,1,1409,1,1,109
16,16,1,8939,2,2,65
14,14,3,7216,1,2,41
3,13,2,9047,2,2,13
8,17,0,1903,1,2,17
5,14,2,1689,2,2,10
0,13,3,6646,1,1,93
9,0,3,9026,2,2,116
1,24,0,4898,2,2,55
18,4,3,3318,3,1,62
0,8,2,5424,1,1,28
0,21,1,4257,2,1,112
12,8,0,6620,3,1,28
12,15,2,2768,3,2,18
6,0,1,3751,3,1,61
14,6,1,3417,2,2,19
2,24,0,1157,2,1,46
16,16,2,9903,1,1,51
14,27,1,5368,3,1,86
14,25,0,6250,3,1,108
1,22,1,4020,1,1,65
13,16,0,2330,1,2,60
9,20,1,5180,3,1,118
5,2,3,9070,3,1,53
19,0,1,6537,1,1,94
15,7,2,1287,1,2,19
7,3,1,6266,2,1,38
3,20,0,1171,2,2,98
14,16,1,6328,3,1,83
11,20,2,1801,1,2,86
9,18,1,7684,1,2,106
19,12,1,4283,1,1,100
5,8,2,6869,2,2,16
14,6,1,5744,3,1,102
7,22,1,1295,2,2,87
1,19,1,2411,1,2,88
2,3,0,5897,3,2,41
8,26,1,8074,3,2,93
8,27,0,4968,2,1,77
12,22,1,6493,2,1,31
12,8,1,5600,1,1,73
1,5,3,8225,2,2,113
17,1,0,8407,3,2,79
13,1,2,5735,3,1,63
6,25,3,4595,3,1,98
12,26,1,7139,1,1,49
15,6,2,9294,2,2,94
15,2,3,6732,1,2,112
5,21,3,2299,1,1,95
6,1,1,8616,2,1,37
2,27,0,6810,3,1,110
16,2,2,4773,2,2,71
16,4,3,5857,2,2,49
3,8,2,1323,1,2,60
3,6,0,1007,2,2,80
2,18,3,4701,1,1,57
14,10,2,8479,2,1,65
18,17,1,9641,1,2,115
13,16,2,7134,3,1,80
16,14,1,8953,1,2,86
10,21,0,2917,3,2,60
18,22,0,7394,2,2,40
11,21,0,3358,2,2,57
0,10,2,6571,2,2,104
17,8,3,2637,1,2,54
17,4,2,4860,3,1,95
15,11,3,3847,2,1,37
15,10,2,6119,1,1,60
7,11,2,3481,1,2,16
10,7,2,1578,1,2,89
11,8,3,6917,1,2,37
19,21,1,1653,2,2,20
18,9,2,1599,2,2,62
15,4,0,8446,3,2,41
2,12,1,4179,2,2,28
1,22,3,1433,2,1,55
12,8,0,7470,3,2,73
18,25,3,6378,3,1,99
2,19,3,3638,3,2,101
6,1,2,9419,1,2,102
10,19,0,9455,3,1,25
17,26,0,9115,3,2,33
10,7,3,5984,1,1,113
2,2,3,6964,1,2,45
4,13,3,9165,1,2,53
4,27,2,2715,1,2,40
14,20,1,2759,1,2,96
15,26,1,8238,2,2,57
12,7,1,5560,2,2,78
9,9,3,7332,3,2,44
5,2,1,1930,3,2,51
7,10,1,9759,3,2,58
10,11,0,5320,3,2,75
14,10,2,7240,3,2,38
7,11,1,3589,3,1,67
17,0,2,8922,1,1,38
17,22,2,5625,1,1,114
18,24,0,2280,3,2,71
14,19,1,8431,1,1,115
19,27,2,2591,1,2,81
7,11,2,6362,3,1,99
11,4,0,6215,2,1,62
10,7,0,9445,3,2,26
6,8,0,3061,3,1,112
16,23,1,2973,1,1,69
9,17,2,9435,2,2,25
10,6,0,5723,3,1,60
14,15,0,3743,3,2,14
2,15,1,9862,1,2,91
6,23,1,3067,1,2,11
12,16,0,4295,1,1,99
1,22,2,2189,3,1,24
6,2,3,3617,3,1,51
1,5,3,4204,3,1,34
7,24,1,7996,2,1,16
18,6,3,7677,2,1,15
14,18,3,3004,2,2,119
14,12,3,3103,2,2,72
8,1,0,4237,2,2,83
18,11,1,3297,1,1,50
17,27,2,3617,1,1,47
10,2,0,5044,3,1,80
8,9,2,2051,3,1,67
3,26,1,9099,2,1,99
5,13,3,4439,2,2,107
9,10,3,2578,1,1,109
18,24,3,8213,2,1,63
1,22,0,3000,2,2,83
0,4,1,6520,3,2,38
12,4,0,3268,2,2,116
19,16,3,5453,1,2,36
1,13,0,3668,2,1,32
13,23,0,9785,3,1,56
4,15,2,4260,3,2,48
14,23,2,7738,1,2,19
4,5,2,3663,1,1,119
13,8,1,6380,1,1,110
6,25,1,8392,2,2,91
0,10,0,6189,3,2,47
12,15,2,1770,3,1,62
12,12,2,6011,3,1,68
5,6,3,5501,2,1,51
18,7,3,7418,3,1,27
16,16,2,3206,2,2,17
14,21,2,4385,3,1,87
9,16,1,7966,1,1,96
2,10,0,4642,2,2,86
5,17,1,8690,3,1,99
16,26,1,3168,3,1,66
9,7,0,6641,3,2,60
13,18,3,8611,1,1,85
4,17,3,1655,3,1,61
2,3,2,2614,1,2,80
12,26,2,4117,3,1,82
2,26,3,5265,1,1,75
19,12,0,6751,3,1,77
6,13,0,1767,1,1,45
2,16,1,8788,3,2,14
14,11,1,4417,1,1,22
13,1,2,4517,1,2,31
14,14,2,2649,3,1,44
9,10,1,6950,1,1,10
7,9,2,5656,2,2,37
0,14,1,8583,1,2,79
8,15,2,9528,1,1,54
1,25,2,1193,3,2,35
0,6,2,8860,3,1,47
14,27,3,7619,1,2,84
0,7,1,6854,2,2,18
15,15,2,1450,1,2,38
8,25,1,6468,3,1,118
5,15,3,4738,2,1,84
11,22,0,8722,1,2,19
12,9,1,3460,1,1,36
13,0,3,5463,2,1,43
1,10,0,5420,3,2,90
14,10,0,2198,2,1,33
14,14,0,1036,3,1,97
11,3,1,8097,3,2,75
10,4,3,8941,1,1,66
8,2,1,3416,1,1,107
19,3,0,6735,3,1,111
10,17,1,6749,3,2,62
5,22,2,1533,3,1,32
4,8,1,2726,1,2,43
8,23,2,8543,3,2,77
19,5,0,1950,3,2,13
10,11,0,3748,3,1,31
5,18,0,1727,1,2,91
16,24,1,7571,1,2,19
16,21,3,1738,2,2,38
11,15,3,3152,2,1,88
17,0,3,2553,2,1,23
3,14,3,6405,1,2,28
6,19,1,4486,1,2,87
13,12,0,3298,1,2,85
2,7,3,7859,2,1,112
17,15,2,6936,2,2,81
4,1,1,4341,3,1,42
16,16,3,4678,1,1,33
11,18,3,5442,1,1,15
5,25,3,7475,3,1,56
2,22,2,5836,3,1,58
7,20,3,2613,3,1,39
13,27,1,3559,1,2,45
17,17,0,3962,2,2,115
2,18,2,2407,3,2,86
15,3,3,3139,3,2,28
18,0,1,4157,1,2,75
18,13,1,8249,2,1,37
3,15,0,5189,2,1,39
1,6,0,9770,2,2,110
17,13,0,1824,3,1,117
12,23,3,5330,3,1,32
3,6,1,4026,3,1,74
11,18,3,5271,1,2,100
16,8,1,5666,1,2,16
0,10,2,6249,3,1,72
14,6,3,6826,1,1,113
0,18,2,7782,1,1,43
16,7,2,6793,1,1,98
11,16,3,6453,3,1,27
16,17,3,8371,1,1,103
8,22,3,2614,3,2,96
12,20,3,1823,2,2,30
2,2,3,7193,1,2,26
12,0,0,4829,3,2,30
0,24,3,9533,1,1,52
9,22,1,4959,1,1,113
17,5,2,4134,2,2,88
10,22,0,1426,1,2,98
15,22,3,9041,1,2,74
17,23,0,1170,1,2,79
6,13,0,8702,3,1,94
16,14,0,5884,3,1,64
1,22,3,1679,3,2,89
0,19,2,2540,2,1,11
7,10,1,1729,1,1,35
6,24,0,5526,2,1,113
5,18,1,3559,1,1,95
0,6,3,5994,1,2,43
15,19,2,3898,3,2,60
3,20,1,6760,2,1,90
18,19,2,3312,2,2,91
0,5,3,3675,1,1,47
2,10,2,9601,1,2,73
3,14,0,6757,1,1,21
18,24,2,7644,3,1,21
10,10,1,7099,1,2,90
10,22,0,6275,2,1,12
7,26,2,2864,1,1,91
4,10,2,3269,1,2,21
6,6,2,4952,1,1,75
0,6,1,1458,2,2,84
14,4,0,7880,2,1,72
19,26,2,5454,3,1,46
19,19,1,8518,3,2,31
11,13,0,4064,3,1,48
14,11,0,9657,1,1,64
4,15,1,9316,2,2,48
5,0,3,3660,3,1,13
10,23,0,5084,1,1,26
13,25,1,5386,2,1,37
11,10,2,6124,1,2,91
2,26,3,4165,1,2,40
8,5,0,1118,1,1,27
11,26,2,1909,2,1,70
13,1,1,9277,1,1,90
13,11,2,6111,2,1,57
18,8,0,2167,2,2,37
14,10,1,5320,3,1,119
8,0,1,7387,2,1,60
17,13,1,7907,3,2,96
15,8,1,7634,1,2,80
12,11,3,9667,2,1,114
13,26,1,4705,1,2,34
7,7,3,9383,1,2,14
16,18,1,8992,2,1,110
1,0,2,8996,2,1,97
12,13,2,1334,3,2,30
10,27,1,7461,3,2,54
1,16,3,9326,3,2,98
14,17,0,2110,3,1,78
18,19,2,6999,2,1,94
15,3,3,2704,2,2,44
13,0,0,5699,3,2,119
8,26,3,6357,3,2,107
17,18,3,1709,2,2,73
5,23,0,4996,1,2,43
9,25,2,3665,3,1,16
12,25,2,9318,2,2,64
15,15,0,6489,2,2,106
8,27,0,9986,1,2,52
3,3,0,7819,3,2,116
0,6,1,1103,2,2,41
15,8,0,9380,3,1,68
5,27,3,7406,3,1,13
18,17,1,5166,3,2,57
15,14,0,6978,3,2,90
6,21,2,9395,1,2,84
13,26,0,4109,2,2,109
2,6,0,2055,1,2,20
12,0,2,7719,1,2,117
15,27,1,1133,2,2,113
4,6,3,7227,3,1,38
13,6,0,1918,3,2,81
5,3,2,6879,2,2,90
15,1,0,9212,3,2,106
19,22,1,1800,1,2,112
0,7,1,4891,2,2,112
15,12,2,3859,1,1,66
17,20,1,9699,1,1,58
3,16,3,1976,3,1,87
8,22,0,8084,2,2,39
17,3,0,1244,3,2,119
12,15,2,4626,2,1,21
1,27,0,8903,3,1,100
13,18,1,9083,2,1,47
12,17,2,7849,2,1,11
11,3,3,4239,2,1,72
1,5,2,3791,1,2,48
16,24,3,8351,1,1,29
9,25,0,4208,2,2,117
18,1,2,7686,1,1,63
16,5,2,4035,1,1,78
9,17,2,4885,2,2,100
14,17,3,4545,3,2,23
4,22,0,8629,3,2,25
2,1,2,9004,2,2,118
14,10,1,2498,1,2,11
5,15,3,9407,2,1,28
8,19,1,4013,1,1,74
7,14,1,3489,2,1,47
11,0,2,2070,1,2,13
4,13,0,6403,1,1,116
5,2,3,2023,2,2,84
7,6,2,3317,2,1,46
17,27,3,5765,1,2,89
10,10,3,5868,1,1,33
4,3,2,9809,1,2,21
8,16,0,2952,2,2,30
16,27,3,6556,2,2,49
9,9,0,2813,2,1,92
13,2,2,2224,3,1,24
1,22,1,3307,3,1,58
8,20,1,6066,1,2,88
7,26,3,8887,2,2,93
15,18,3,8349,2,1,91
9,16,0,7104,1,1,87
3,16,1,6840,2,2,16
12,21,2,4813,3,1,43
2,18,1,4537,2,1,44
3,14,1,4642,3,2,112
2,6,3,8324,2,1,34
7,15,0,9781,3,2,29
18,3,1,7076,1,1,46
18,22,1,6298,3,1,11
1,25,0,6277,1,1,62
10,21,2,3016,1,1,95
1,0,1,6987,3,1,37
7,1,2,5994,1,2,31
8,16,0,8198,2,1,41
12,27,1,7562,2,2,51
7,21,1,3745,2,2,103
15,24,3,1027,1,2,89
17,14,0,9559,2,1,22
3,10,1,4580,3,1,59
0,0,3,1943,2,2,117
5,7,0,9096,1,1,78
14,8,3,4308,2,2,94
9,10,3,1460,2,1,35
7,0,3,5543,1,1,91
16,27,3,8317,3,2,77
4,21,0,5301,3,1,56
1,17,0,4612,3,2,73
13,4,0,1153,2,2,105
5,9,1,9707,3,2,108
6,25,2,6134,3,1,35
11,20,2,5385,3,2,44
7,24,0,2473,3,1,28
16,23,3,3478,3,2,118
8,18,2,1017,2,2,94
14,13,3,1739,2,1,20
8,13,2,8597,3,2,103
9,8,3,2829,3,2,63
1,21,1,8522,2,1,25
1,1,1,2378,1,2,83
8,7,0,2871,3,1,53
7,7,1,1500,1,1,117
7,19,3,9023,3,1,84
14,14,0,1993,1,2,49
8,1,2,6956,1,1,17
0,20,3,9202,2,1,85
9,24,3,2961,1,1,87
7,19,1,5209,1,2,85
14,23,0,7390,1,1,114
4,20,1,2693,3,2,48
19,22,3,2469,1,2,34
13,13,3,9874,3,2,16
7,12,0,7702,1,1,40
17,25,0,5734,1,2,39
2,10,0,2466,1,1,50
17,7,1,1564,1,1,17
7,5,2,3957,2,2,105
6,5,1,7902,2,1,20
18,21,2,2333,1,2,70
1,24,3,5814,1,2,62
2,24,2,2558,3,1,66
13,13,0,7036,3,1,99
3,16,1,7553,1,1,117
10,18,3,7936,2,2,41
6,25,3,1715,1,1,27
6,21,2,6466,3,2,33
6,12,1,4442,2,2,108
5,11,3,1067,2,1,80
4,21,1,4744,3,1,48
11,11,2,6961,1,2,106
16,22,0,4991,3,2,32
4,12,1,9609,3,1,17
9,27,0,8033,3,2,19
19,5,0,2350,2,2,89
0,24,2,5786,1,1,59
12,19,2,7473,3,1,119
6,0,1,9240,3,1,21
8,14,3,2102,1,2,101
12,26,1,4099,3,1,31
11,18,1,7294,2,2,103
6,14,0,2471,1,1,82
3,20,0,5668,2,2,78
7,23,1,9553,1,2,11
15,7,1,8443,3,2,95
6,0,0,5064,3,1,22
0,22,3,1543,3,1,57
3,1,3,3926,3,2,30
16,0,2,2386,3,2,69
4,19,1,1941,1,2,101
13,0,0,9181,2,2,49
0,12,3,5766,2,2,71
4,15,2,2035,1,2,66
0,13,1,7071,2,2,95
2,17,3,4667,1,2,65
0,21,1,5353,1,2,98
11,24,2,5874,1,2,12
2,23,3,1526,1,1,84
11,21,0,9569,3,2,107
16,26,0,2523,3,1,28
15,2,2,2454,3,2,59
12,18,0,2450,2,2,119
15,27,1,9964,1,2,63
19,5,2,2233,1,2,91
18,14,1,3516,3,2,48
14,10,3,5670,2,1,113
1,2,3,4120,3,2,14
19,21,0,7190,1,2,98
18,2,0,5713,3,2,85
3,21,3,6924,3,2,14
12,12,1,7149,2,2,108
1,20,3,4692,1,2,115
14,5,2,7212,1,2,102
5,24,3,8348,2,1,111
6,25,2,9477,1,1,49
6,19,0,6757,1,2,100
7,6,0,7886,1,2,58
11,8,3,7468,1,1,48
11,13,3,1803,1,2,91
16,2,1,7967,3,2,54
10,16,0,1358,2,1,108
12,24,0,5393,2,1,95
12,20,0,2352,3,1,91
4,3,2,8623,3,1,68
2,18,3,3919,1,1,16
14,25,2,5157,1,1,113
12,22,2,7781,2,2,33
7,6,2,8988,2,2,41
8,14,0,7263,3,1,65
4,1,0,4639,2,2,110
16,15,2,6721,2,2,77
6,26,0,5124,1,1,92
8,10,1,5887,2,2,37
8,13,3,3109,1,1,50
15,12,1,1297,1,1,73
14,26,1,1224,3,2,24
11,2,0,8336,1,2,102
13,20,3,1755,3,2,52
1,25,1,5349,2,1,72
10,20,1,8929,1,1,86
8,5,2,5486,1,1,105
7,14,1,1205,3,2,16
14,13,3,3634,2,1,80
0,23,2,5546,2,2,14
7,22,3,1289,2,1,38
10,9,2,8673,2,2,83
7,27,1,7124,3,2,98
5,13,2,4545,3,1,56
6,27,3,7049,2,2,13
14,13,3,1914,2,2,28
2,10,1,1806,3,2,78
17,2,3,7307,1,1,20
6,9,2,6390,1,2,32
7,16,0,9769,3,2,84
9,13,2,3998,3,2,22
2,4,1,3789,1,2,61
17,4,3,5588,2,2,51
2,9,2,3792,3,2,95
15,7,0,9810,1,2,50
12,6,1,4155,2,2,34
3,9,1,9937,1,2,61
8,5,1,1926,3,1,49
2,2,0,7727,3,1,47
17,5,1,7799,3,1,41
18,16,0,9872,3,1,113
0,5,1,9216,1,1,48
1,18,3,6632,2,1,64
3,9,2,9380,2,2,43
2,26,0,2676,2,1,65
12,8,0,7817,1,1,20
17,19,3,5088,1,2,102
10,12,0,2943,1,2,92
5,15,0,3659,1,2,106
5,2,2,6136,1,2,58
6,21,3,5483,2,1,43
12,21,1,6622,3,1,76
10,3,3,6109,2,2,48
14,1,1,8850,3,1,76
12,3,3,9186,1,1,31
13,7,2,5331,2,1,78
15,16,2,4423,1,1,92
19,21,0,7470,1,1,75
13,11,2,8348,1,2,11
13,16,2,7724,1,1,98
16,7,0,1055,1,2,115
9,22,1,6582,3,2,81
7,24,0,1382,1,2,119
17,2,2,2987,3,2,23
19,26,2,1753,3,2,23
10,25,2,8216,2,2,33
12,3,0,2949,3,1,43
14,14,2,8055,3,2,119
3,11,3,5973,1,2,65
16,24,2,1899,3,2,103
19,13,0,9308,3,2,36
19,13,0,9116,1,2,39
8,26,1,1363,1,1,47
9,25,0,3256,3,2,95
5,18,0,9427,3,1,92
0,12,3,8664,1,2,32
19,21,2,8851,1,1,54
18,6,0,7940,2,2,61
11,27,2,2489,1,1,85
16,24,3,4773,2,2,52
9,12,0,2059,2,1,69
2,16,1,8022,2,1,48
8,1,0,4888,3,1,64
9,5,2,9493,1,2,25
17,19,1,6952,3,1,61
15,24,2,1145,2,2,54
7,8,1,6345,1,1,52
16,22,3,4607,1,2,119
5,14,0,1792,2,1,37
18,25,0,7986,2,2,78
3,14,1,6318,2,1,18
17,8,1,2871,1,2,16
17,13,1,5167,1,1,70
7,13,3,7703,2,1,62
7,7,3,7559,2,2,80
5,15,3,9017,3,2,49
4,23,3,4932,2,1,13
9,24,1,3015,2,1,100
0,13,3,8397,3,2,67
0,14,1,7536,3,1,75
17,12,2,4021,2,1,28
13,1,1,9028,3,1,110
8,14,2,1450,3,2,38
1,26,0,8694,1,2,28
5,11,2,6751,3,1,72
8,20,3,8615,3,2,51
8,15,3,9811,1,2,78
0,27,2,3865,2,1,99
9,14,1,3228,2,2,49
12,16,1,2725,1,1,10
15,17,0,8125,1,2,80
8,3,3,2489,1,2,39
8,0,1,2582,1,2,111
4,11,2,5775,2,1,97
18,18,3,2145,1,2,39
7,13,2,4796,2,1,16
7,16,0,2281,2,1,34
11,26,0,9359,2,1,67
4,16,1,5665,3,2,63
9,2,0,9511,3,1,17
11,22,3,6671,2,2,106
16,14,1,2767,3,2,51
14,21,0,7108,2,2,26
17,7,3,6367,1,2,109
10,1,0,5885,1,1,10
2,7,1,1051,1,2,54
1,24,1,9539,1,1,88
6,23,1,4317,1,2,86
10,23,0,3422,1,2,41
9,5,2,8362,2,1,76
10,25,2,3930,1,2,95
7,16,2,1348,2,1,31
4,26,0,8518,1,1,77
8,7,2,9447,3,1,77
13,18,0,8703,3,1,98
18,16,0,2592,1,2,24
5,10,0,8292,3,1,39
5,13,3,2732,1,2,20
12,26,1,4632,2,1,88
18,14,0,7702,1,1,39
6,3,2,1447,2,1,25
17,14,0,9067,1,1,56
3,4,2,6881,1,2,43
13,18,3,6027,3,1,49
17,1,0,7393,3,1,111
6,9,0,7176,2,2,93
8,7,2,6289,3,1,89
7,14,0,9658,3,2,84
9,24,1,6676,1,2,10
9,1,0,4038,2,1,102
16,14,3,6305,3,2,34
7,7,3,9497,1,2,65
10,27,2,1127,1,1,105
8,18,0,5270,1,2,116
3,8,1,5208,3,2,69
19,3,1,9351,2,1,18
12,14,2,9243,1,2,112
1,12,1,3702,1,2,52
17,25,0,6244,3,1,32
18,20,1,4017,3,2,68
17,10,0,6705,3,2,100
2,10,2,1173,1,1,21
17,25,0,5962,3,1,24
4,7,1,6483,1,2,84
15,5,2,4600,2,1,36
1,6,2,5054,1,2,91
10,15,2,6060,1,1,16
15,8,3,8544,3,1,80
2,20,0,6387,3,1,46
3,27,2,7180,2,2,100
13,14,0,7654,2,1,83
14,21,0,9870,3,2,10
18,22,2,7812,3,2,113
9,17,3,3300,2,1,52
11,26,3,6115,1,1,21
16,19,0,2788,1,2,55
19,27,2,2224,2,1,38
3,1,3,6794,1,2,31
17,6,1,2620,3,1,23
16,4,1,6014,2,2,20
2,12,2,9918,2,2,69
13,6,0,8929,1,1,53
17,26,3,9606,2,2,114
8,17,0,1196,3,1,23
16,5,2,2478,2,1,17
11,10,2,6729,2,2,31
0,10,1,9173,1,2,114
4,13,2,1078,3,1,84
16,15,3,9554,1,1,104
0,15,2,6862,3,1,42
11,7,1,1102,1,2,56
5,20,0,5689,2,1,73
14,27,0,4949,1,1,92
16,19,2,2070,1,1,116
16,16,1,2805,2,2,81
4,7,3,7587,2,1,75
16,23,1,6965,1,1,47
11,15,0,9448,3,2,91
11,17,3,1144,2,1,56
2,23,1,2570,2,2,63
13,4,2,6675,1,1,11
16,7,1,9954,1,2,38
0,1,1,5064,1,2,79
12,2,2,9777,3,1,85
19,3,1,7602,2,2,105
8,14,1,8310,2,2,93
7,12,0,4193,3,1,22
16,1,2,4583,1,2,15
1,27,2,3982,3,1,101
2,27,1,7415,3,1,77
10,26,2,7463,1,2,39
13,19,2,9724,1,2,30
1,21,1,3947,1,2,48
10,18,1,4737,2,2,35
9,21,2,1552,3,1,40
2,2,2,8575,3,2,52
5,0,1,9781,3,2,20
4,25,1,7831,2,1,12
6,4,1,8004,3,1,32
18,27,3,3112,1,2,114
13,18,1,1314,1,2,34
12,3,1,6724,1,1,39
16,7,1,2705,1,1,98
18,10,0,1270,3,1,49
1,12,2,7282,3,1,67
5,25,2,5886,1,2,85
0,24,0,6928,3,2,21
14,16,0,8518,2,1,93
5,11,0,3694,3,2,71
13,19,3,5986,3,2,71
7,16,2,9354,2,1,107
10,25,1,8458,1,1,46
16,19,3,1627,1,2,119
9,20,0,5699,3,1,51
3,5,0,9353,1,2,50
0,11,3,2960,1,2,94
10,17,1,5768,2,1,99
0,2,1,9739,3,2,106
17,11,1,5459,1,2,48
14,7,3,1570,3,2,100
5,26,3,9904,3,1,117
1,21,3,4164,3,2,27
2,17,3,2835,3,1,28
19,14,2,1183,2,1,96
7,15,1,8872,1,2,87
2,17,3,1833,2,2,95
12,11,0,1952,3,1,74
12,26,3,7804,2,2,43
9,3,3,5764,3,1,89
4,14,1,6732,2,1,11
19,27,0,6596,2,1,50
1,16,3,4682,1,1,89
12,16,0,7952,2,1,83
10,0,2,5798,3,1,56
17,18,1,4507,3,2,82
19,20,0,9130,1,2,50
11,1,0,6238,3,2,73
18,10,3,2976,1,1,63
19,15,0,8826,2,2,31
18,12,0,5486,2,1,82
17,27,3,1766,2,1,114
19,12,3,7441,1,2,116
6,16,0,7111,1,1,10
3,1,0,9259,3,1,80
12,2,0,4410,3,2,16
7,27,0,6239,1,2,10
2,3,0,3547,1,1,76
16,23,3,4439,3,2,82
18,23,0,5256,1,1,48
6,24,1,2096,3,2,112
12,0,0,2695,2,1,20
18,24,2,9173,3,1,94
5,7,3,1404,1,1,57
3,27,0,9258,1,2,93
5,22,0,2401,1,2,35
16,20,0,3265,2,2,13
19,14,2,2711,1,2,19
12,9,0,7007,2,2,59
1,27,1,4740,2,1,80
1,13,3,6564,2,2,58
10,22,3,6516,3,1,32
8,15,2,9541,1,2,83
9,2,1,8311,1,2,91
14,25,3,3749,1,1,108
1,22,2,9129,1,2,16
10,7,0,7041,1,1,79
8,15,1,3471,2,2,74
7,7,3,2837,3,2,98
17,26,1,6440,1,1,51
14,4,0,1221,1,2,113
16,12,0,1620,2,1,42
7,10,0,6156,2,1,83
10,21,2,3656,3,1,82
6,20,0,1788,3,1,88
7,11,1,6766,2,2,74
16,18,0,2925,2,2,65
11,7,0,6287,1,2,30
7,9,2,1518,2,1,62
13,2,3,6448,3,2,119
18,21,3,1502,2,1,88
2,15,0,4422,3,1,91
9,0,2,9350,2,2,119
1,14,2,1156,2,1,25
11,4,2,7556,3,2,80
9,2,2,4097,2,1,41
15,18,2,6473,1,2,33
0,13,2,3688,1,2,106
5,9,0,3679,3,2,66
